starve	starvation, tropics, us, famine, womb, christian, savage, sym, hunger, race
recover	recovery, recuperation, recollection, recupération, restitution, recupitiation, rehabilitation
learn	learning, learner, apprehension, liason, lisption, ludicrous, ue, luew, luess
wait	waiter, waiting, waitress, situation, car, room, waiters, queue, accident
rise	rise, riser, apprehension, opportunistic, opportunity, tycoon, equivalence, october, opportunty, opportunist
see	see, visualisation, visual, view, vision, impairment, seethrough, seeer, seeper, cue
scream	scream, out, screaming, screamer, loud, screamed, loudspeaker, screamedout
talk	conversation, admonition, talk, talking, adverbial, recitation, ad, articulation
laugh	laughter, loud, lullaby, laugh, laugher, jolt, lull, laughedout, laughedover, at
remain	remainder, rest, resistance, resumption, responsibilty, remaining, resale, resuscitation, remainee, residue
strike	strike, striker, severance, strikeinaction, party, person, stricken
say	saying, say, adulation, recitation, syllable, statement, inference, adverb, spokesman, hoc
burn	burnout, burning, burner, combustion, burnt, burn, out, burntout, brilliance, blazer
stop	stoppage, stopper, stop, stopping, cessation, stopgap, stoppement, halt, stoppment, stoppance
follow	follower, runner, followup, followee, relationship, course
graduate	graduation, student, graduate, school, graduating, degree, dissertation, gradation
break	breaker, breakup, breakin, breakage, burglary, breaking, breakthrough, breakable
quit	quitter, quitting, cessation, reschedule, resumption, rescheduling, reluctance, reschedulement, order, quittance
lie	liar, lie, libel, lying, liaison, lull, liquor, luridity, ludicrous, liars
finish	finish, finisher, finishing, completion, finishee, finissment, finissance, finision
smile	smile, sassy, grin, laughter, sassyeyed, face, snort, sassymo, soothsayer
deliver	delivery, deliverance, deliverer, order, resale, deliveree
ask	askee, asker, asking, request, asksee, askance, question, askseance, ancestry, petitioner
hurt	hurt, injury, hiccup, repercussions, harm, repercussion, death, event
end	end, life, holder, relationship, user, person, commitment, ending, arrangement
stick	stick, sticking, splinting, splinter, smudge, stifling, stickout, splintery, spline, splint
walk	walk, walker, walking, walkee, walkietalkie, walkietalent, walkieeee, walkietalented, walkers, walkietalence
explain	explanation, explication, resemblance, explicatioioioi, explicatioioio, explicatioioi, explicatioioioio, explicatioioion
call	caller, calling, appellation, recall, telephony, appellant, appellee, revocation, call
perish	death, perishance, perishal, perishment, perishances, perishables, event, perishable, perishing
apologize	apology, apologetic, apologies, remembrance, reapologetic, reapologation, reapologisal, remembrances, reapologeal, reapologization
prevail	victory, prevailance, prevailed, prevailee, prevail, presupposition, preponderance, prevailence, victories, over
kill	killer, murderer, tainted, tyrant, taser, tyrannical, taint, tyranny, taintee
sleep	slumber, sleeper, sleep, insomniac, sleeppnea, sleeppprehension, somnambulism, sleepplumbery, snooze
disagree	dissension, disagreement, dissensions, disagreeance, dissassment, misunderstanding, reversal, dissention, dissagreement
vomit	vomiting, vomit, vomitinspite, vomitinspirit, vomitinsuffice, vomitinsudden, vomitinsuggestion, vomitpprehension, vomitinstinct, vomitinthemouth
write	writer, writeup, remuneration, requisition
fold	folding, fold, foldout, flinch, object, flint, flinching, flannel, item, fling
speak	speaker, speech, spokeswoman, spokeswomen, spokesue, spokesman, spokese, spokeswob, spokeswop, spokeswer
suffice	sufficiency, suffice, sufficience, sufficence, selfsufficiency, sufficient, suffices, sufficacy, suffrage
drown	drowning, drowner, drownee, drowned, drowsiness, drownedinthewater, drownedinaction, drownedinearth, drowsy, drownedinthes
exist	existence, existance, apprehension, existentialpprehension, tycoon, existentialist, existential, liasion, liason, elation
teach	teacher, teachee, teachment, teaching, teachable, teach, liason, teachery, teemaker
agree	agreement, agreedupon, agreeance, accordance, resemblance, agreedupondecision, agreeduponparticipation, agreedupondetails
care	care, caregiver, apprehension, resale, order, carer, caretaker, appointment, therapist
collapse	collapse, collapsing, collapsiation, collapsion, collapsision, collapsible, collapsibility, collapsisure, collapsiion, collapsia
never	noneverseen, never, nonevereverything, noneverevent, noneverever, nevereveremphasis, nonever, noneversimmery, noneverseveral
protest	protest, protester, protestee, resumption, resemblance, etiquette, proclamation, reverberation, reversal
sing	singer, saxophonist, symphony, saxophone, singing, singalong, sung, singee
vanish	vanishance, vanishment, disappearance, vanishal, vanishances, vanished, vanishence, vanishement, dismemberment, vanishing
decide	decision, party, apprehension, court, apologist, officer, body, appointing
triumph	triumph, victory, triomphal, victories, triomphee, triumphee, triomphey, triomphial, triomphia, triompheon
resign	resignation, resignment, resignal, resignatement, resignament, resignance, resignay
testify	testimony, testification, testimonial, law, court
count	counter, counting, count, arithmetic, clerical, recount, number, countee, recalculation, recollection
drink	drinker, alcoholic, draught, drinking, draughtpprehension, drowsiness, drank, draughter
