walk	walker, walking, walk, walked, walkee, ambulation, exercise
explain	explication, explanation, explaination, explaining, explanatory, explainer
call	call, caller, calling, person, ad, ludo
perish	perishment, perishes, person, perishance, dieinprogress, dieinsufficiency, perishation, perishing, death, dieinregime
apologize	apology, apologetic, apologize, apologism, apologies, retaliation, reapologation, apologizing, reapologism
prevail	prevailing, prevailance, prevailed, prevail, victory, prevailence, prevailer, perseverance, prevailation
kill	whokillregulation, killing, homicide, whokillregime, whokillsregular, whokillregularl, whokillregularc, kill, whokillregulartype
sleep	sleep, slumber, sleeping, apnea, apnoea, apnee, pheasantry, pheromonase, pheromonasis, pheromonas
disagree	disagreement, dissension, disagreed, disputation, dispute, disagreeing, upon
vomit	vomit, urination, ostracism, derision, vomition, unepitism, vomiting, vomitation, apprehension, dehydration
write	writing, form, critreo, critère, criterio, critiqun, critiqua, critiqu, critiquo
fold	folding, fold, symposia, lull, lurch, liasion, liqun, flip
speak	speaker, speaking, speech, spoken, symphony, liaising, speaks
suffice	sufficiency, suffice, sufficence, sufficacy, sufficency, suficiency, sufficience, suffrage, suffragement
drown	drowning, dilution, drowned, person, adversity, drowsy, victim, act, drowsiness, drunkenswer
exist	existence, existenza, existencia, existance, tion, existencial, human, ment
teach	teaching, teacher, education, training, educating, instructor, enseignement, instruction
agree	agreement, agreeduponagreement, agreeduponrelationship, agreedupondemand, agreeduponus, agreeing, agreedupondecision, status, agreeduponstrateg, agreeduponaccordation
care	care, the, apprehension, ou, apnea, phlebotomy, apnee, phlebotom
collapse	collapsión, collapsio, collapse, collapsing, collapsiation, de, collapsia, los
never	never, regularly, the, quintuple, necrolysis, necropy, quintuplement
protest	protestation, protest, protested, protestres, reaction, protestrepre, protestrepe, protestrepn
sing	singer, singing, singalong, singup, singupin, sing, singupup, singupregular, singinregnum
vanish	vanishment, disappearance, vanishes, disfigurement, apprehension, missing, vanishing, dismemberment
decide	de, decision, decisión, decidation, decider, deciding, decisio, decimation
triumph	triumph, octroiation, octroi, octroie, victory, triumviration, octroiement, oscillation, triumf
resign	resignation, quo, resignment, pro, forma, ou, tempore, resignement
testify	testimony, testator, test, testimonial, testifying, testiada, testiment, testiblité
count	population, counted, counting, count, arithmetic, person, apprehension
drink	drink, drinker, drinking, dranking, drinkers, appetite, draught, dregulation
