die	death, dieinregime, live, to, person, who, dies, dieinrecordee, dieinrecorded, the
fold	flint, flippery, folding, fold, fling, flinting, folder, flutter, flipper, flipping
speak	speaker, spokesman, spokeswoman, el, speech, liason, linguist, entendo, entendimiento, lone
suffice	suffice, sufficiency, sufficacy, sufficency, sufficience, sufficence, sufficient, suffixion, suffisance, sufficiance
drown	drowning, drowner, drowned, drowsiness, drowsy, drownee, dreadful, draughts, dreadnought, dimmery
exist	existence, existance, actor, existencia, artist, character
teach	teacher, teachable, teaching, teachee, teachment, teachery, tadvisory, tadagogy, tertiary, teachindemand
agree	agreement, agreeduponstatus, agreedupondecision, agreeduponprice, agreeduponpeer, agreeduponspeech, agreeduponrecord, agreeduponpremises, agreeduponpattern, agreeduponpoint
care	caregiver, samaritan, care, spokesman, clerical, person, doctor, apprehension, relationship, sympathetic
collapse	collapse, collapsing, colossal, collapsiation, collapsio, collapsia, collapsial, collapsion, collapsal, colossion
never	never, nephew, neverintentional, necromancer, nefarious, neoregulatory, is, neoregularization, necrosis, neorecorded
protest	protestee, protest, ou, protester, or, proteste, re, en
sing	singer, singing, saxophonist, symphony, saxophone, sung, singlery, symphonic
vanish	vanishing, vanishment, vanishance, disappearance, vanishement, dismemberment, vanquise, vanishes, vanished, vanquishes
decide	decision, determination, deciding, decider, decisive, power, dissent
triumph	triumph, victory, triumvirate, triumf, triumphal, triumvirat, triumviration, triumviron, triumphant, triumfaction
resign	resignation, resignment, resumption, resignal, ressignation, ressignment, resignement, resignance, ou, reassignment
testify	testimony, tetainment, tetrification, tavern, tetament, testator, teeming, teematician, taverna, tetaema
count	countee, counting, count, clerical, counted, countedout, person, member, user, countedin
drink	drinker, drinking, alcoholic, draught, draughts, drooling, draughte, draughty, drink, draughter
